persona_id,axis_1,axis_2,axis_3,axis_4,axis_5,axis_6,axis_7,axis_8,axis_9,axis_10,axis_11,axis_12,n_models,cluster,region,urban_rural,age,gender,education,economic_position,governance_experience,religious_tradition,occupation,location,name
P0030,-0.6965,0.4,-0.5,-0.0294,-0.6968,-0.4759,0.8,0.7,0.6,0.7295,-0.7372,-0.3627,1,2,western_europe,urban,58,male,primary,working_class,stable_democracy,"Roman Catholic, devout (attends mass weekly)",Owner of a small traditional bakery,"Porto, Portugal",Ricardo Silva
P0031,-0.6968,0.3215,-0.7,0.1717,-0.2168,-0.3515,0.8,0.8,0.7,0.7372,-0.6116,-0.5825,1,2,western_europe,rural,81,female,none,affluent,stable_democracy,"Protestant (Evangelical Church in Germany), moderately observant",Retired farmer (dairy and forestry),"Black Forest region, Germany",Greta Müller
P0032,-0.675,0.775,0.6,-0.5825,-0.8332,-0.5634,-0.5,-0.8,-0.8,0.561,-0.8235,0.0842,1,1,western_europe,urban,22,male,secondary,struggling,stable_democracy,"Sunni Muslim, moderately observant",Delivery driver for a food app,"Marseille, France",Omar Hassan
P0033,-0.8499,-0.85,0.7,0.737,-0.3965,-0.3515,-0.7,-0.3,-0.8,-0.4378,-0.7372,-0.438,1,4,western_europe,urban,49,female,postgraduate,affluent,stable_democracy,"Agnostic, raised Lutheran (nominal)",Marine biologist working for a government agency,"Bergen, Norway",Elsa Jörgensen
P0034,-0.6965,0.0832,-0.7,-0.0294,-0.7582,-0.4759,0.8,0.3,0.6,0.642,-0.736,-0.3627,1,2,western_europe,urban,63,male,secondary,middle_class,stable_democracy,Secular with cultural Catholic roots,Owner of a small antique shop,"Bruges, Belgium",Dirk Van der Velde
P0035,-0.8494,0.7,-0.5,-0.5251,-0.6832,-0.533,-0.7,0.7,-0.4,0.7374,-0.7372,-0.3501,1,1,western_europe,peri_urban,25,female,secondary,working_class,stable_democracy,"Atheist, raised in a secular household",Apprentice electrician,"Valence, France",Charlotte Dubois
P0036,-0.525,-0.5785,-0.9,-0.992,-0.4418,-0.7384,1.0,0.0,0.8,0.9124,-0.67,-0.992,1,3,western_europe,rural,78,male,none,working_class,flawed_democracy,"Roman Catholic, very devout (attends daily mass, active in local church)",Retired shepherd and cheese maker,"Sardinia, Italy (rural village)",Gianni Esposito
P0037,0.7718,0.7749,-0.7,-0.5377,-0.0668,-0.3884,0.3,0.0,0.7,0.817,-0.67,-0.4502,1,2,western_europe,urban,40,male,university,wealthy,stable_democracy,"Secular, culturally Protestant",Financial analyst for a private bank,"Zurich, Switzerland",Emil Weber
P0038,-0.8494,0.0082,0.3,0.7374,-0.6832,-0.3884,-0.1,-0.7,-0.8,-0.4376,-0.736,-0.4376,1,4,western_europe,urban,52,female,university,middle_class,stable_democracy,"Lutheran (Evangelical Lutheran Church of Finland), culturally affiliated but non-practicing",Librarian,"Rovaniemi, Finland",Satu Lehtonen
P0039,-0.525,0.775,-0.5,-0.6929,-0.3668,-0.6509,0.4,0.9,0.7,0.9125,-0.2491,-0.6929,1,2,western_europe,urban,65,male,secondary,struggling,flawed_democracy,"Greek Orthodox, devout (attends church weekly, observes fasting)",Retired small business owner (electronics repair shop),"Thessaloniki, Greece",Kostas Papadopoulos
P0040,-0.8494,0.0968,-0.6,0.7375,-0.6994,-0.3884,0.3,-0.3,-0.7,-0.4378,-0.9124,-0.4375,1,4,western_europe,urban,30,female,postgraduate,middle_class,stable_democracy,"Culturally Catholic, atheist in belief",Classical musician (violinist in an orchestra),"Vienna, Austria",Isabella Schmidt
P0041,-0.775,0.3968,-0.6,-0.495,-0.45,-0.533,0.8,0.7,0.6,0.7372,-0.642,-0.495,1,2,western_europe,rural,72,female,secondary,working_class,stable_democracy,"Anglican Christian, attends church weekly and is involved in parish activities.",Retired postmistress,"St Agnes, Cornwall, United Kingdom",Eleanor Vance
P0042,-0.7582,0.7,0.9,0.7375,0.2785,-0.4759,-0.2,0.9,0.6,-0.3501,0.4455,-0.4375,1,0,western_europe,urban,45,male,university,middle_class,stable_democracy,"Secular, raised Catholic but now identifies as non-religious, valuing France's laïcité.",High school history teacher,"Bordeaux, France",Mathieu Dubois
P0043,-0.5035,-0.9244,0.4,0.8226,-0.6215,-0.3515,-0.9,0.3,-0.9,-0.6509,-0.7372,-0.4399,1,4,western_europe,peri_urban,28,female,postgraduate,affluent,stable_democracy,"Atheist, raised in a nominally Protestant household but never practiced.",Software developer for a renewable energy startup,"Potsdam, Germany",Lena Schmidt
P0044,-0.6791,0.775,-0.2,-0.5064500000000001,-0.5775,0.09395,0.9,0.8500000000000001,0.8,0.86865,-0.20925,-0.5502,2,2,western_europe,urban,68,male,primary,struggling,flawed_democracy,"Roman Catholic, culturally observant, attends mass on major holidays and for family events.",Retired small business owner (bakery),"Naples, Italy",Giuseppe Rossi
P0045,-0.3535,-0.4715,-0.7,-0.495,-0.2785,-0.5253,0.9,0.0,0.7,0.7374,-0.736,-0.5825,1,3,western_europe,rural,55,female,primary,working_class,stable_democracy,"Roman Catholic, deeply traditional, attends mass weekly and participates in local religious festivals.",Olive farmer and artisan jam maker,"Alpujarra de la Sierra, Granada, Spain",Carmen García
P0046,-0.8494,0.6968,0.7,0.7374,-0.6832,-0.3884,-0.8,0.8,-0.8,-0.4378,-0.0693,-0.5251,1,0,western_europe,urban,24,male,university,middle_class,stable_democracy,"Agnostic, raised in a secular household, sees religion primarily as a cultural phenomenon.",Junior data analyst at a logistics company,"Malmö, Sweden",Erik Johansson
P0047,-0.3532,-0.3668,-0.7,-0.6054,-0.2168,-0.358,0.8,0.7,0.6,0.7372,-0.6054,-0.6929,1,2,western_europe,rural,58,female,secondary,middle_class,stable_democracy,"Evangelical Lutheran, moderately observant, attends church on Sundays.",Fisherwoman and guesthouse owner,"Lofoten Islands, Norway",Solveig Bjørnsen
P0048,-0.85,0.625,0.6,0.68,0.1418,-0.3515,-0.6,0.7,0.4,0.5624,0.2626,-0.5825,1,0,western_europe,peri_urban,65,female,university,affluent,stable_democracy,"Danish National Church (Lutheran), culturally affiliated but not regularly practicing.",Retired nurse,"Roskilde, Denmark",Birgit Andersen
P0049,-0.8494,0.3968,-0.2,0.3162,-0.7718,-0.6571,-0.2,-0.7,-0.4,-0.5253,-0.736,-0.3505,1,4,western_europe,urban,39,male,university,middle_class,stable_democracy,"Sunni Muslim, observant but not strict, attends mosque on Fridays and celebrates holidays.",Freelance graphic designer,"Amsterdam, Netherlands",Ahmed Hassan
P0050,-0.31455,0.5124,-0.7,-0.23979999999999999,-0.6832,-0.5482,0.3,-0.2,0.19999999999999998,-0.08040000000000001,-0.78035,-0.40645,2,1,western_europe,rural,21,female,secondary,working_class,stable_democracy,"Culturally Catholic, attends church only for family events like weddings or baptisms.",Apprentice baker,"Durbuy, Wallonia, Belgium",Céline Moreau
P0051,-0.2756,0.775,0.6,0.7351,-0.6999,-0.6571,-0.5,-0.4,-0.6,-0.5696,-0.8249,-0.5274,1,0,western_europe,urban,48,male,university,affluent,stable_democracy,"Roman Catholic, attends mass occasionally, largely for cultural reasons and children's sacraments.",Architect,"Dublin, Ireland",Liam O'Connell
P0052,-0.775,0.475,0.3,-0.561,-0.6965,-0.2134,0.9,0.9,0.6,0.7295,-0.7295,-0.8235,1,2,western_europe,peri_urban,78,female,primary,struggling,stable_democracy,"Roman Catholic, very devout, attends daily mass and is active in her church community.",Retired seamstress,"Faro, Portugal",Maria Silva
P0053,-0.9249,0.025,-0.7,-0.7575,-0.9082,-0.6571,-0.5,-0.7,-0.8,0.8249,-0.817,-0.495,1,1,western_europe,urban,32,male,university,working_class,flawed_democracy,"Greek Orthodox, culturally observant but not strictly practicing, attends services for family occasions.",Freelance web designer and part-time barista,"Thessaloniki, Greece",Dimitris Savvidis
P0054,-0.8499,-0.5468,-0.6,-0.1846,-0.3535,-0.3515,-0.6,0.7,0.6,0.3166,-0.817,-0.5179,1,1,western_europe,rural,61,female,secondary,working_class,stable_democracy,"Evangelical Lutheran, culturally affiliated but rarely attends church, prefers solitude in nature.",Forestry worker,"Kuusamo, Finland",Aino Virtanen
P0055,-0.8499,0.3215,-0.1,0.7374,-0.6965,-0.358,-0.6,0.3,-0.2,-0.439,-0.736,-0.3501,1,0,western_europe,urban,52,male,postgraduate,middle_class,stable_democracy,"Roman Catholic, culturally Catholic but identifies as agnostic, attends church for family holidays.",University librarian,"Graz, Austria",Stefan Gruber
P0056,-0.3535,0.3994,-0.7,-0.3596,-0.6968,-0.7675,0.8,0.8,0.7,0.7295,-0.7295,-0.5179,1,2,western_europe,rural,26,male,secondary,working_class,stable_democracy,"Protestant Reformed Church, observant and active in the local church community.",Dairy farmer,"Appenzell, Switzerland",Silas Müller
P0057,-0.85,-0.2006,0.7,0.7351,0.2168,-0.358,-0.6,-0.9,-0.8,-0.5251,-0.7372,-0.4399,1,4,western_europe,urban,41,female,postgraduate,affluent,stable_democracy,"Hindu, culturally observant, celebrates major festivals, but not strictly practicing.",NHS consultant physician,"London, United Kingdom",Priya Sharma
P0058,-0.8499,0.475,-0.5,-0.6054,-0.5168,-0.5634,0.0,0.0,0.8,-0.1045,-0.67,-0.6054,1,2,western_europe,urban,69,male,secondary,working_class,colonial_post_colonial_transition,"Atheist, grew up in East Germany with state-sponsored atheism, never developed religious beliefs.",Retired factory foreman,"Leipzig, Germany",Hans Richter
P0059,-0.9082,0.0218,-0.7,-0.7575,-0.8332,-0.6509,-0.7,0.7,-0.8,0.6497,-0.736,-0.5825,1,1,western_europe,peri_urban,29,female,secondary,working_class,stable_democracy,"Secular, raised in a non-religious household, has no interest in organized religion.",Veterinary assistant at a rural clinic,"Amiens, France",Chloé Lefevre
P0060,0.4749,0.85,-0.4,-0.5377,-0.6215,-0.3946,-0.1,0.7,0.7,0.8247,-0.5241,0.6373,1,2,western_europe,urban,43,male,university,middle_class,flawed_democracy,"Roman Catholic, nominal, attends church only for social occasions.",Owner of a small artisanal leather workshop,"Bologna, Italy",Marco Esposito
P0061,-0.77495,0.24,-0.7,-0.71755,-0.45,-0.35475,0.8500000000000001,0.4,0.6499999999999999,0.82085,-0.6014999999999999,-0.71755,2,2,western_europe,rural,72,male,primary,working_class,stable_democracy,"Anglican (Church in Wales), attends services occasionally for community.",Retired sheep farmer,"Abergavenny, Wales, United Kingdom",Arthur Finch
P0062,-0.7582,0.6244,0.6,0.7248,-0.6215,-0.358,-0.3,0.9,-0.4,-0.439,-0.561,0.5498,1,0,western_europe,urban,28,female,university,middle_class,stable_democracy,"Agnostic, raised in a culturally Catholic family.",Software developer for a tech startup,"Lyon, France",Chloé Dubois
P0063,-0.2918,0.7,0.6,0.7248,-0.45,-0.3884,-0.1,0.7,0.6,-0.439,-0.0325,-0.3627,1,0,western_europe,peri_urban,55,male,secondary,middle_class,stable_democracy,"Lutheran, attends church for major holidays and community events.",Mid-level manager at an automotive supplier,"Bad Homburg vor der Höhe, Germany",Hans Müller
P0064,-0.9249,-0.5785,-0.8,-0.7804,-0.5332,-0.4759,1.0,0.5,0.8,0.7374,-0.8235,-0.7804,1,3,western_europe,urban,81,female,primary,struggling,flawed_democracy,"Roman Catholic, deeply devout, attends daily mass.",Retired olive oil producer,"Matera, Italy",Sofia Rossi
P0065,-0.925,-0.85,0.6,0.68,-0.6968,-0.6205,-0.9,-0.9,-1.0,-0.6509,-0.8249,-0.5825,1,4,western_europe,urban,23,non_binary,university,working_class,stable_democracy,"Secular, raised in a nominally Lutheran household.",Freelance graphic designer and barista,"Stockholm, Sweden",Alex Sundqvist
P0066,-0.8494,0.3968,-0.5,0.7375,-0.6832,-0.358,-0.7,-0.2,-0.8,-0.4378,-0.7372,-0.35,1,4,western_europe,urban,48,male,university,middle_class,stable_democracy,"Roman Catholic, culturally observant but not strictly practicing.",Primary school teacher,"Valencia, Spain",Miguel Sánchez
P0067,-0.85,-0.8332,0.7,0.7374,-0.6965,-0.3515,-0.7,-0.6,-0.8,-0.4378,-0.7372,-0.4376,1,4,western_europe,urban,41,female,postgraduate,middle_class,stable_democracy,"Humanist, raised in a nominally Protestant family.",Public health researcher,"Utrecht, Netherlands",Liesbeth Van der Velde
P0068,-0.7718,-0.0535,-0.7,-0.6929,-0.6994,-0.6571,0.8,0.7,0.6,0.8235,-0.8247,-0.5179,1,2,western_europe,rural,29,male,secondary,working_class,stable_democracy,"Roman Catholic, observant, attends Sunday mass.",Fisherman on a small trawler,"Connemara, County Galway, Ireland",Seán O'Connell
P0069,-0.9249,0.775,-0.6,-0.7575,-0.9832,-0.7384,0.0,0.8,0.6,0.7372,-0.8235,-0.5825,1,2,western_europe,urban,68,female,primary,struggling,stable_democracy,"Roman Catholic, devout, active in her parish community.",Retired seamstress,"Coimbra, Portugal",Fátima Esteves
P0070,-0.8468,0.6999,-0.1,0.304,-0.6215,-0.358,-0.5,0.8,0.6,-0.264,0.3515,-0.3627,1,0,western_europe,peri_urban,45,male,secondary,middle_class,stable_democracy,"Danish National Church (Lutheran), culturally affiliated but not regularly practicing.","Carpenter, small business owner","Roskilde, Denmark",Erik Nielsen
P0071,-0.8332,-0.7,-0.8,0.7351,-0.6994,-0.358,-0.8,-0.9,-0.8,-0.533,-0.7375,-0.5274,1,4,western_europe,urban,26,female,university,working_class,stable_democracy,"Evangelical Lutheran Church of Finland, nominal member, rarely attends services.",Tourism guide specializing in Arctic experiences,"Rovaniemi, Finland",Aino Virtanen
P0072,0.0082,-0.8468,-0.2,0.68,-0.6215,-0.3884,-0.6,-0.7,-0.8,-0.7248,-0.3962,-0.495,1,4,western_europe,urban,52,male,postgraduate,affluent,stable_democracy,"Atheist, raised in a secular family.",Architect specializing in sustainable design,"Ghent, Belgium",Jean-Luc Dubois
P0073,-0.85,0.6244,0.5,0.7248,0.3532,-0.5634,0.8,0.8,0.7,0.2289,-0.9122,-0.5377,1,2,western_europe,peri_urban,67,female,secondary,middle_class,stable_democracy,"Roman Catholic, attends church weekly and is active in charitable groups.",Retired nurse,"Graz, Austria",Helga Schmidt
P0074,0.6218,0.075,-0.8,-0.67,-0.2785,-0.6509,0.9,0.1,0.8,0.9045,-0.5346,-0.5825,1,2,western_europe,rural,58,male,secondary,middle_class,stable_democracy,"Reformed Protestant (Zwinglian), attends church regularly.",Cheesemaker and dairy farmer,"Appenzell Innerrhoden, Switzerland",Thomas Meier
P0075,-0.4418,0.025,0.1,-0.5377,-0.3535,-0.533,-0.4,0.9,-0.7,0.9124,-0.6991,-0.5377,1,1,western_europe,urban,24,female,university,struggling,flawed_democracy,"Greek Orthodox, culturally observant, attends church for major holidays.",University student (archaeology) and part-time museum assistant,"Thessaloniki, Greece",Eleni Papadopoulos
P0076,-0.8499,-0.225,-0.7,-0.7295,-0.2168,-0.3515,0.8,0.9,0.7,0.7372,-0.6116,-0.817,1,2,western_europe,rural,76,male,primary,working_class,stable_democracy,"Church of Norway (Lutheran), nominal, attends funerals and weddings.",Retired cod fisherman,"Lofoten Islands, Norway",Bjorn Halvorsen
P0077,-0.925,0.6244,0.6,0.737,0.2168,-0.533,0.0,-0.7,0.5,0.5624,-0.8247,-0.5255,1,0,western_europe,urban,39,female,university,working_class,stable_democracy,"Sunni Muslim, observant, prays daily and observes Ramadan.",NHS nurse (intensive care),"East London, United Kingdom",Aisha Rahman
P0078,-0.7247,0.55,-0.3,-0.19090000000000001,-0.69,-0.5482,-0.75,0.19999999999999998,-0.4,0.061600000000000016,-0.7372,-0.1117,2,1,western_europe,peri_urban,21,non_binary,secondary,struggling,stable_democracy,"Secular, raised in a non-religious household.",Apprentice pastry chef,"Lille Métropole, France",Céleste Moreau
P0079,-0.77495,-0.77495,-0.75,-0.84555,-0.33340000000000003,-0.54435,1.0,0.9,0.8500000000000001,0.9124,-0.84555,-0.8893,2,3,western_europe,rural,79,male,none,struggling,stable_democracy,"Roman Catholic, deeply traditional, rarely leaves his home but cherishes old customs.",Retired forest worker,"Bavarian Forest, Germany",Klaus Richter
P0080,-0.525,-0.25585,-0.6499999999999999,0.7372000000000001,-0.72905,-0.4315,0.10000000000000003,-0.05,0.24999999999999997,0.10595000000000002,-0.7372,-0.48155,2,1,western_europe,urban,46,female,university,middle_class,flawed_democracy,"Secular, culturally Catholic, appreciates the historical and artistic aspects of the Church.",Art restorer,"Florence, Italy",Isabella Romano
P0081,-0.7744,0.85,-0.6,-0.6054,-0.2785,-0.358,0.8,0.8,0.8,0.8235,-0.6116,-0.5179,1,2,western_europe,rural,68,male,secondary,working_class,stable_democracy,"Anglican, nominally observant, attends church for major holidays.","Retired fisherman, part-time boat repairer","St Agnes, Cornwall, United Kingdom",Arthur Pendelton
P0082,-0.8499,-0.4285,0.3,0.65,-0.7582,-0.533,-0.7,-0.7,-0.8,-0.5265,-0.7372,-0.35,1,4,western_europe,urban,45,female,university,middle_class,stable_democracy,"Secular, raised Protestant but identifies as non-religious.",High school history teacher,"Prenzlauer Berg, Berlin, Germany",Lena Richter
P0083,-0.2751,0.7,-0.7,-0.0741,-0.6832,-0.3884,0.4,0.7,0.6,0.736,-0.736,-0.4075,1,2,western_europe,peri_urban,28,male,secondary,working_class,flawed_democracy,"Roman Catholic, culturally observant, attends mass occasionally.",Sous chef at a trattoria,"Barberino di Mugello, Tuscany, Italy",Giovanni Rossi
P0084,-0.6,-0.7715,-0.1,0.7351,-0.45,-0.4455,-1.0,0.8,-0.8,-0.4455,-0.3962,-0.5274,1,4,western_europe,urban,39,non_binary,postgraduate,affluent,stable_democracy,"Atheist, raised in a secular household.",Senior software developer at a fintech company,"Södermalm, Stockholm, Sweden",Kai Lindgren
P0085,-0.925,0.3994,-0.5,-0.2491,-0.7718,-0.5634,0.3,0.7,0.1,0.7372,-0.8247,-0.495,1,2,western_europe,rural,78,female,primary,struggling,flawed_democracy,"Roman Catholic, devout and attends mass weekly.",Retired olive picker,"Vélez-Málaga, Andalusia, Spain",Carmen García
P0086,-0.88715,-0.3266,-0.6,-0.61395,-0.8093,-0.654,-0.75,-0.6,-0.8,-0.48275,-0.7365999999999999,-0.43894999999999995,2,4,western_europe,urban,24,male,university,middle_class,stable_democracy,"Agnostic, raised in a culturally Catholic family.","Aspiring graphic novelist, works part-time at a bookstore","Le Marais, Paris, France",Antoine Dubois
P0087,-0.85,0.3832,0.3,0.3166,-0.6965,-0.3515,-0.6,0.7,-0.2,-0.4378,-0.6497,-0.3501,1,0,western_europe,peri_urban,51,female,secondary,middle_class,stable_democracy,"Protestant (Dutch Reformed Church), attends church monthly.",District nurse,"Amstelveen, North Holland, Netherlands",Mieke Janssen
